# Time (hours),Membrane Thickness (cm),Voltage (V),Voltage Check(V),Current Density (A/cm^2),Current Density Check(A/cm^2),Power (W),Power Check(W)
0.241241,0.008632,1.999069,1.999069,0.735637,0.735637,1000.000000,1000.000000
0.242242,0.008606,1.999466,1.999466,0.735490,0.735490,1000.000000,1000.000000
0.243243,0.008580,1.999864,1.999864,0.735344,0.735344,1000.000000,1000.000000
0.244244,0.008555,2.000264,2.000264,0.735197,0.735197,1000.000000,1000.000000
0.245245,0.008529,2.000664,2.000664,0.735050,0.735050,1000.000000,1000.000000
0.246246,0.008503,2.001065,2.001065,0.734903,0.734903,1000.000000,1000.000000
0.247247,0.008478,2.001468,2.001468,0.734755,0.734755,1000.000000,1000.000000
0.248248,0.008452,2.001872,2.001872,0.734607,0.734607,1000.000000,1000.000000
0.249249,0.008427,2.002276,2.002276,0.734458,0.734458,1000.000000,1000.000000
0.250250,0.008402,2.002682,2.002682,0.734309,0.734309,1000.000000,1000.000000
0.251251,0.008377,2.003089,2.003089,0.734160,0.734160,1000.000000,1000.000000
0.252252,0.008352,2.003496,2.003496,0.734011,0.734011,1000.000000,1000.000000
0.253253,0.008326,2.003905,2.003905,0.733861,0.733861,1000.000000,1000.000000
0.254254,0.008301,2.004315,2.004315,0.733711,0.733711,1000.000000,1000.000000
0.255255,0.008277,2.004726,2.004726,0.733561,0.733561,1000.000000,1000.000000
0.256256,0.008252,2.005139,2.005139,0.733410,0.733410,1000.000000,1000.000000
0.257257,0.008227,2.005552,2.005552,0.733259,0.733259,1000.000000,1000.000000
0.258258,0.008202,2.005966,2.005966,0.733107,0.733107,1000.000000,1000.000000
0.259259,0.008178,2.006382,2.006382,0.732955,0.732955,1000.000000,1000.000000
0.260260,0.008153,2.006798,2.006798,0.732803,0.732803,1000.000000,1000.000000
0.261261,0.008129,2.007216,2.007216,0.732651,0.732651,1000.000000,1000.000000
0.262262,0.008104,2.007634,2.007634,0.732498,0.732498,1000.000000,1000.000000
0.263263,0.008080,2.008054,2.008054,0.732345,0.732345,1000.000000,1000.000000
0.264264,0.008056,2.008475,2.008475,0.732191,0.732191,1000.000000,1000.000000
0.265265,0.008032,2.008897,2.008897,0.732038,0.732038,1000.000000,1000.000000
0.266266,0.008008,2.009320,2.009320,0.731883,0.731883,1000.000000,1000.000000
0.267267,0.007984,2.009745,2.009745,0.731729,0.731729,1000.000000,1000.000000
0.268268,0.007960,2.010170,2.010170,0.731574,0.731574,1000.000000,1000.000000
0.269269,0.007936,2.010596,2.010596,0.731419,0.731419,1000.000000,1000.000000
0.270270,0.007912,2.011024,2.011024,0.731263,0.731263,1000.000000,1000.000000
0.271271,0.007888,2.011453,2.011453,0.731108,0.731108,1000.000000,1000.000000
0.272272,0.007865,2.011883,2.011883,0.730951,0.730951,1000.000000,1000.000000
0.273273,0.007841,2.012314,2.012314,0.730795,0.730795,1000.000000,1000.000000
0.274274,0.007818,2.012746,2.012746,0.730638,0.730638,1000.000000,1000.000000
0.275275,0.007794,2.013179,2.013179,0.730481,0.730481,1000.000000,1000.000000
0.276276,0.007771,2.013613,2.013613,0.730323,0.730323,1000.000000,1000.000000
0.277277,0.007747,2.014049,2.014049,0.730165,0.730165,1000.000000,1000.000000
0.278278,0.007724,2.014485,2.014485,0.730007,0.730007,1000.000000,1000.000000
0.279279,0.007701,2.014923,2.014923,0.729848,0.729848,1000.000000,1000.000000
0.280280,0.007678,2.015362,2.015362,0.729689,0.729689,1000.000000,1000.000000
