# Time (hours),k1,k2,k3,final_time
281882,1.88637,0.12167,0.00176078,800000
282683,1.88637,0.12167,0.00176078,800000
283483,1.88637,0.12167,0.00176078,800000
284284,1.88637,0.12167,0.00176078,800000
285085,1.88637,0.12167,0.00176078,800000
285886,1.88637,0.12167,0.00176078,800000
286687,1.88637,0.12167,0.00176078,800000
287487,1.88637,0.12167,0.00176078,800000
288288,1.88637,0.12167,0.00176078,800000
289089,1.88637,0.12167,0.00176078,800000
289890,1.88637,0.12167,0.00176078,800000
290691,1.88637,0.12167,0.00176078,800000
291491,1.88637,0.12167,0.00176078,800000
292292,1.88637,0.12167,0.00176078,800000
293093,1.88637,0.12167,0.00176078,800000
293894,1.88637,0.12167,0.00176078,800000
294695,1.88637,0.12167,0.00176078,800000
295495,1.88637,0.12167,0.00176078,800000
296296,1.88637,0.12167,0.00176078,800000
297097,1.88637,0.12167,0.00176078,800000
297898,1.88637,0.12167,0.00176078,800000
298699,1.88637,0.12167,0.00176078,800000
299499,1.88637,0.12167,0.00176078,800000
300300,1.88637,0.12167,0.00176078,800000
301101,1.88637,0.12167,0.00176078,800000
301902,1.88637,0.12167,0.00176078,800000
302703,1.88637,0.12167,0.00176078,800000
303504,1.88637,0.12167,0.00176078,800000
304304,1.88637,0.12167,0.00176078,800000
305105,1.88637,0.12167,0.00176078,800000
305906,1.88637,0.12167,0.00176078,800000
306707,1.88637,0.12167,0.00176078,800000
307508,1.88637,0.12167,0.00176078,800000
308308,1.88637,0.12167,0.00176078,800000
309109,1.88637,0.12167,0.00176078,800000
309910,1.88637,0.12167,0.00176078,800000
310711,1.88637,0.12167,0.00176078,800000
311512,1.88637,0.12167,0.00176078,800000
312312,1.88637,0.12167,0.00176078,800000
313113,1.88637,0.12167,0.00176078,800000
313914,1.88637,0.12167,0.00176078,800000
314715,1.88637,0.12167,0.00176078,800000
315516,1.88637,0.12167,0.00176078,800000
316316,1.88637,0.12167,0.00176078,800000
317117,1.88637,0.12167,0.00176078,800000
317918,1.88637,0.12167,0.00176078,800000
318719,1.88637,0.12167,0.00176078,800000
319520,1.88637,0.12167,0.00176078,800000
320320,1.88637,0.12167,0.00176078,800000
321121,1.88637,0.12167,0.00176078,800000
321922,1.88637,0.12167,0.00176078,800000
322723,1.88637,0.12167,0.00176078,800000
323524,1.88637,0.12167,0.00176078,800000
324324,1.88637,0.12167,0.00176078,800000
325125,1.88637,0.12167,0.00176078,800000
325926,1.88637,0.12167,0.00176078,800000
326727,1.88637,0.12167,0.00176078,800000
327528,1.88637,0.12167,0.00176078,800000
328328,1.88637,0.12167,0.00176078,800000
329129,1.88637,0.12167,0.00176078,800000
329930,1.88637,0.12167,0.00176078,800000
330731,1.88637,0.12167,0.00176078,800000
331532,1.88637,0.12167,0.00176078,800000
332332,1.88637,0.12167,0.00176078,800000
333133,1.88637,0.12167,0.00176078,800000
333934,1.88637,0.12167,0.00176078,800000
334735,1.88637,0.12167,0.00176078,800000
335536,1.88637,0.12167,0.00176078,800000
336336,1.88637,0.12167,0.00176078,800000
337137,1.88637,0.12167,0.00176078,800000
337938,1.88637,0.12167,0.00176078,800000
338739,1.88637,0.12167,0.00176078,800000
339540,1.88637,0.12167,0.00176078,800000
340340,1.88637,0.12167,0.00176078,800000
341141,1.88637,0.12167,0.00176078,800000
341942,1.88637,0.12167,0.00176078,800000
342743,1.88637,0.12167,0.00176078,800000
343544,1.88637,0.12167,0.00176078,800000
344344,1.88637,0.12167,0.00176078,800000
345145,1.88637,0.12167,0.00176078,800000
345946,1.88637,0.12167,0.00176078,800000
346747,1.88637,0.12167,0.00176078,800000
347548,1.88637,0.12167,0.00176078,800000
348348,1.88637,0.12167,0.00176078,800000
349149,1.88637,0.12167,0.00176078,800000
349950,1.88637,0.12167,0.00176078,800000
350751,1.88637,0.12167,0.00176078,800000
351552,1.88637,0.12167,0.00176078,800000
352352,1.88637,0.12167,0.00176078,800000
353153,1.88637,0.12167,0.00176078,800000
353954,1.88637,0.12167,0.00176078,800000
354755,1.88637,0.12167,0.00176078,800000
355556,1.88637,0.12167,0.00176078,800000
356356,1.88637,0.12167,0.00176078,800000
357157,1.88637,0.12167,0.00176078,800000
357958,1.88637,0.12167,0.00176078,800000
358759,1.88637,0.12167,0.00176078,800000
359560,1.88637,0.12167,0.00176078,800000
360360,1.88637,0.12167,0.00176078,800000
361161,1.88637,0.12167,0.00176078,800000
361962,1.88637,0.12167,0.00176078,800000
362763,1.88637,0.12167,0.00176078,800000
363564,1.88637,0.12167,0.00176078,800000
364364,1.88637,0.12167,0.00176078,800000
365165,1.88637,0.12167,0.00176078,800000
365966,1.88637,0.12167,0.00176078,800000
366767,1.88637,0.12167,0.00176078,800000
367568,1.88637,0.12167,0.00176078,800000
368368,1.88637,0.12167,0.00176078,800000
369169,1.88637,0.12167,0.00176078,800000
369970,1.88637,0.12167,0.00176078,800000
370771,1.88637,0.12167,0.00176078,800000
371572,1.88637,0.12167,0.00176078,800000
372372,1.88637,0.12167,0.00176078,800000
373173,1.88637,0.12167,0.00176078,800000
373974,1.88637,0.12167,0.00176078,800000
374775,1.88637,0.12167,0.00176078,800000
375576,1.88637,0.12167,0.00176078,800000
376376,1.88637,0.12167,0.00176078,800000
377177,1.88637,0.12167,0.00176078,800000
377978,1.88637,0.12167,0.00176078,800000
378779,1.88637,0.12167,0.00176078,800000
379580,1.88637,0.12167,0.00176078,800000
380380,1.88637,0.12167,0.00176078,800000
381181,1.88637,0.12167,0.00176078,800000
381982,1.88637,0.12167,0.00176078,800000
382783,1.88637,0.12167,0.00176078,800000
383584,1.88637,0.12167,0.00176078,800000
384384,1.88637,0.12167,0.00176078,800000
385185,1.88637,0.12167,0.00176078,800000
385986,1.88637,0.12167,0.00176078,800000
386787,1.88637,0.12167,0.00176078,800000
387588,1.88637,0.12167,0.00176078,800000
388388,1.88637,0.12167,0.00176078,800000
389189,1.88637,0.12167,0.00176078,800000
389990,1.88637,0.12167,0.00176078,800000
390791,1.88637,0.12167,0.00176078,800000
391592,1.88637,0.12167,0.00176078,800000
392392,1.88637,0.12167,0.00176078,800000
393193,1.88637,0.12167,0.00176078,800000
393994,1.88637,0.12167,0.00176078,800000
394795,1.88637,0.12167,0.00176078,800000
395596,1.88637,0.12167,0.00176078,800000
396396,1.88637,0.12167,0.00176078,800000
397197,1.88637,0.12167,0.00176078,800000
397998,1.88637,0.12167,0.00176078,800000
398799,1.88637,0.12167,0.00176078,800000
399600,1.88637,0.12167,0.00176078,800000
400400,1.88637,0.12167,0.00176078,800000
401201,1.88637,0.12167,0.00176078,800000
402002,1.88637,0.12167,0.00176078,800000
402803,1.88637,0.12167,0.00176078,800000
403604,1.88637,0.12167,0.00176078,800000
404404,1.88637,0.12167,0.00176078,800000
405205,1.88637,0.12167,0.00176078,800000
406006,1.88637,0.12167,0.00176078,800000
406807,1.88637,0.12167,0.00176078,800000
407608,1.88637,0.12167,0.00176078,800000
408408,1.88637,0.12167,0.00176078,800000
409209,1.88637,0.12167,0.00176078,800000
410010,1.88637,0.12167,0.00176078,800000
410811,1.88637,0.12167,0.00176078,800000
411612,1.88637,0.12167,0.00176078,800000
412412,1.88637,0.12167,0.00176078,800000
413213,1.88637,0.12167,0.00176078,800000
414014,1.88637,0.12167,0.00176078,800000
414815,1.88637,0.12167,0.00176078,800000
415616,1.88637,0.12167,0.00176078,800000
416416,1.88637,0.12167,0.00176078,800000
417217,1.88637,0.12167,0.00176078,800000
418018,1.88637,0.12167,0.00176078,800000
418819,1.88637,0.12167,0.00176078,800000
419620,1.88637,0.12167,0.00176078,800000
420420,1.88637,0.12167,0.00176078,800000
421221,1.88637,0.12167,0.00176078,800000
422022,1.88637,0.12167,0.00176078,800000
422823,1.88637,0.12167,0.00176078,800000
423624,1.88637,0.12167,0.00176078,800000
424424,1.88637,0.12167,0.00176078,800000
425225,1.88637,0.12167,0.00176078,800000
426026,1.88637,0.12167,0.00176078,800000
426827,1.88637,0.12167,0.00176078,800000
427628,1.88637,0.12167,0.00176078,800000
428428,1.88637,0.12167,0.00176078,800000
429229,1.88637,0.12167,0.00176078,800000
430030,1.88637,0.12167,0.00176078,800000
430831,1.88637,0.12167,0.00176078,800000
431632,1.88637,0.12167,0.00176078,800000
432432,1.88637,0.12167,0.00176078,800000
433233,1.88637,0.12167,0.00176078,800000
434034,1.88637,0.12167,0.00176078,800000
434835,1.88637,0.12167,0.00176078,800000
435636,1.88637,0.12167,0.00176078,800000
436436,1.88637,0.12167,0.00176078,800000
437237,1.88637,0.12167,0.00176078,800000
438038,1.88637,0.12167,0.00176078,800000
438839,1.88637,0.12167,0.00176078,800000
439640,1.88637,0.12167,0.00176078,800000
440440,1.88637,0.12167,0.00176078,800000
441241,1.88637,0.12167,0.00176078,800000
442042,1.88637,0.12167,0.00176078,800000
442843,1.88637,0.12167,0.00176078,800000
443644,1.88637,0.12167,0.00176078,800000
444444,1.88637,0.12167,0.00176078,800000
445245,1.88637,0.12167,0.00176078,800000
446046,1.88637,0.12167,0.00176078,800000
446847,1.88637,0.12167,0.00176078,800000
447648,1.88637,0.12167,0.00176078,800000
448448,1.88637,0.12167,0.00176078,800000
449249,1.88637,0.12167,0.00176078,800000
450050,1.88637,0.12167,0.00176078,800000
450851,1.88637,0.12167,0.00176078,800000
451652,1.88637,0.12167,0.00176078,800000
452452,1.88637,0.12167,0.00176078,800000
453253,1.88637,0.12167,0.00176078,800000
454054,1.88637,0.12167,0.00176078,800000
454855,1.88637,0.12167,0.00176078,800000
455656,1.88637,0.12167,0.00176078,800000
456456,1.88637,0.12167,0.00176078,800000
457257,1.88637,0.12167,0.00176078,800000
458058,1.88637,0.12167,0.00176078,800000
458859,1.88637,0.12167,0.00176078,800000
459660,1.88637,0.12167,0.00176078,800000
460460,1.88637,0.12167,0.00176078,800000
461261,1.88637,0.12167,0.00176078,800000
462062,1.88637,0.12167,0.00176078,800000
462863,1.88637,0.12167,0.00176078,800000
463664,1.88637,0.12167,0.00176078,800000
464464,1.88637,0.12167,0.00176078,800000
465265,1.88637,0.12167,0.00176078,800000
466066,1.88637,0.12167,0.00176078,800000
466867,1.88637,0.12167,0.00176078,800000
467668,1.88637,0.12167,0.00176078,800000
468468,1.88637,0.12167,0.00176078,800000
469269,1.88637,0.12167,0.00176078,800000
470070,1.88637,0.12167,0.00176078,800000
470871,1.88637,0.12167,0.00176078,800000
471672,1.88637,0.12167,0.00176078,800000
472472,1.88637,0.12167,0.00176078,800000
473273,1.88637,0.12167,0.00176078,800000
474074,1.88637,0.12167,0.00176078,800000
474875,1.88637,0.12167,0.00176078,800000
475676,1.88637,0.12167,0.00176078,800000
476476,1.88637,0.12167,0.00176078,800000
477277,1.88637,0.12167,0.00176078,800000
478078,1.88637,0.12167,0.00176078,800000
478879,1.88637,0.12167,0.00176078,800000
479680,1.88637,0.12167,0.00176078,800000
480480,1.88637,0.12167,0.00176078,800000
481281,1.88637,0.12167,0.00176078,800000
482082,1.88637,0.12167,0.00176078,800000
482883,1.88637,0.12167,0.00176078,800000
483684,1.88637,0.12167,0.00176078,800000
484484,1.88637,0.12167,0.00176078,800000
485285,1.88637,0.12167,0.00176078,800000
486086,1.88637,0.12167,0.00176078,800000
486887,1.88637,0.12167,0.00176078,800000
487688,1.88637,0.12167,0.00176078,800000
488488,1.88637,0.12167,0.00176078,800000
489289,1.88637,0.12167,0.00176078,800000
490090,1.88637,0.12167,0.00176078,800000
490891,1.88637,0.12167,0.00176078,800000
491692,1.88637,0.12167,0.00176078,800000
492492,1.88637,0.12167,0.00176078,800000
493293,1.88637,0.12167,0.00176078,800000
494094,1.88637,0.12167,0.00176078,800000
494895,1.88637,0.12167,0.00176078,800000
495696,1.88637,0.12167,0.00176078,800000
496496,1.88637,0.12167,0.00176078,800000
497297,1.88637,0.12167,0.00176078,800000
498098,1.88637,0.12167,0.00176078,800000
498899,1.88637,0.12167,0.00176078,800000
499700,1.88637,0.12167,0.00176078,800000
500501,1.88637,0.12167,0.00176078,800000
501301,1.88637,0.12167,0.00176078,800000
502102,1.88637,0.12167,0.00176078,800000
502903,1.88637,0.12167,0.00176078,800000
503704,1.88637,0.12167,0.00176078,800000
504505,1.88637,0.12167,0.00176078,800000
505305,1.88637,0.12167,0.00176078,800000
506106,1.88637,0.12167,0.00176078,800000
506907,1.88637,0.12167,0.00176078,800000
507708,1.88637,0.12167,0.00176078,800000
508509,1.88637,0.12167,0.00176078,800000
509309,1.88637,0.12167,0.00176078,800000
510110,1.88637,0.12167,0.00176078,800000
510911,1.88637,0.12167,0.00176078,800000
511712,1.88637,0.12167,0.00176078,800000
512513,1.88637,0.12167,0.00176078,800000
513313,1.88637,0.12167,0.00176078,800000
514114,1.88637,0.12167,0.00176078,800000
514915,1.88637,0.12167,0.00176078,800000
515716,1.88637,0.12167,0.00176078,800000
516517,1.88637,0.12167,0.00176078,800000
517317,1.88637,0.12167,0.00176078,800000
518118,1.88637,0.12167,0.00176078,800000
518919,1.88637,0.12167,0.00176078,800000
519720,1.88637,0.12167,0.00176078,800000
520521,1.88637,0.12167,0.00176078,800000
521321,1.88637,0.12167,0.00176078,800000
522122,1.88637,0.12167,0.00176078,800000
522923,1.88637,0.12167,0.00176078,800000
523724,1.88637,0.12167,0.00176078,800000
524525,1.88637,0.12167,0.00176078,800000
525325,1.88637,0.12167,0.00176078,800000
526126,1.88637,0.12167,0.00176078,800000
526927,1.88637,0.12167,0.00176078,800000
527728,1.88637,0.12167,0.00176078,800000
528529,1.88637,0.12167,0.00176078,800000
529329,1.88637,0.12167,0.00176078,800000
530130,1.88637,0.12167,0.00176078,800000
530931,1.88637,0.12167,0.00176078,800000
531732,1.88637,0.12167,0.00176078,800000
532533,1.88637,0.12167,0.00176078,800000
533333,1.88637,0.12167,0.00176078,800000
534134,1.88637,0.12167,0.00176078,800000
534935,1.88637,0.12167,0.00176078,800000
535736,1.88637,0.12167,0.00176078,800000
536537,1.88637,0.12167,0.00176078,800000
537337,1.88637,0.12167,0.00176078,800000
538138,1.88637,0.12167,0.00176078,800000
538939,1.88637,0.12167,0.00176078,800000
539740,1.88637,0.12167,0.00176078,800000
540541,1.88637,0.12167,0.00176078,800000
541341,1.88637,0.12167,0.00176078,800000
542142,1.88637,0.12167,0.00176078,800000
542943,1.88637,0.12167,0.00176078,800000
543744,1.88637,0.12167,0.00176078,800000
544545,1.88637,0.12167,0.00176078,800000
545345,1.88637,0.12167,0.00176078,800000
546146,1.88637,0.12167,0.00176078,800000
546947,1.88637,0.12167,0.00176078,800000
547748,1.88637,0.12167,0.00176078,800000
548549,1.88637,0.12167,0.00176078,800000
549349,1.88637,0.12167,0.00176078,800000
550150,1.88637,0.12167,0.00176078,800000
550951,1.88637,0.12167,0.00176078,800000
551752,1.88637,0.12167,0.00176078,800000
552553,1.88637,0.12167,0.00176078,800000
553353,1.88637,0.12167,0.00176078,800000
554154,1.88637,0.12167,0.00176078,800000
554955,1.88637,0.12167,0.00176078,800000
555756,1.88637,0.12167,0.00176078,800000
556557,1.88637,0.12167,0.00176078,800000
557357,1.88637,0.12167,0.00176078,800000
558158,1.88637,0.12167,0.00176078,800000
558959,1.88637,0.12167,0.00176078,800000
559760,1.88637,0.12167,0.00176078,800000
560561,1.88637,0.12167,0.00176078,800000
561361,1.88637,0.12167,0.00176078,800000
562162,1.88637,0.12167,0.00176078,800000
562963,1.88637,0.12167,0.00176078,800000
563764,1.88637,0.12167,0.00176078,800000
564565,1.88637,0.12167,0.00176078,800000
565365,1.88637,0.12167,0.00176078,800000
566166,1.88637,0.12167,0.00176078,800000
566967,1.88637,0.12167,0.00176078,800000
567768,1.88637,0.12167,0.00176078,800000
568569,1.88637,0.12167,0.00176078,800000
569369,1.88637,0.12167,0.00176078,800000
570170,1.88637,0.12167,0.00176078,800000
570971,1.88637,0.12167,0.00176078,800000
571772,1.88637,0.12167,0.00176078,800000
572573,1.88637,0.12167,0.00176078,800000
573373,1.88637,0.12167,0.00176078,800000
574174,1.88637,0.12167,0.00176078,800000
574975,1.88637,0.12167,0.00176078,800000
575776,1.88637,0.12167,0.00176078,800000
576577,1.88637,0.12167,0.00176078,800000
577377,1.88637,0.12167,0.00176078,800000
578178,1.88637,0.12167,0.00176078,800000
578979,1.88637,0.12167,0.00176078,800000
579780,1.88637,0.12167,0.00176078,800000
580581,1.88637,0.12167,0.00176078,800000
581381,1.88637,0.12167,0.00176078,800000
582182,1.88637,0.12167,0.00176078,800000
582983,1.88637,0.12167,0.00176078,800000
583784,1.88637,0.12167,0.00176078,800000
584585,1.88637,0.12167,0.00176078,800000
585385,1.88637,0.12167,0.00176078,800000
586186,1.88637,0.12167,0.00176078,800000
586987,1.88637,0.12167,0.00176078,800000
587788,1.88637,0.12167,0.00176078,800000
588589,1.88637,0.12167,0.00176078,800000
589389,1.88637,0.12167,0.00176078,800000
590190,1.88637,0.12167,0.00176078,800000
590991,1.88637,0.12167,0.00176078,800000
591792,1.88637,0.12167,0.00176078,800000
592593,1.88637,0.12167,0.00176078,800000
593393,1.88637,0.12167,0.00176078,800000
594194,1.88637,0.12167,0.00176078,800000
594995,1.88637,0.12167,0.00176078,800000
595796,1.88637,0.12167,0.00176078,800000
596597,1.88637,0.12167,0.00176078,800000
597397,1.88637,0.12167,0.00176078,800000
598198,1.88637,0.12167,0.00176078,800000
598999,1.88637,0.12167,0.00176078,800000
599800,1.88637,0.12167,0.00176078,800000
600601,1.88637,0.12167,0.00176078,800000
601401,1.88637,0.12167,0.00176078,800000
602202,1.88637,0.12167,0.00176078,800000
603003,1.88637,0.12167,0.00176078,800000
603804,1.88637,0.12167,0.00176078,800000
604605,1.88637,0.12167,0.00176078,800000
605405,1.88637,0.12167,0.00176078,800000
606206,1.88637,0.12167,0.00176078,800000
607007,1.88637,0.12167,0.00176078,800000
607808,1.88637,0.12167,0.00176078,800000
608609,1.88637,0.12167,0.00176078,800000
609409,1.88637,0.12167,0.00176078,800000
610210,1.88637,0.12167,0.00176078,800000
611011,1.88637,0.12167,0.00176078,800000
611812,1.88637,0.12167,0.00176078,800000
612613,1.88637,0.12167,0.00176078,800000
613413,1.88637,0.12167,0.00176078,800000
614214,1.88637,0.12167,0.00176078,800000
615015,1.88637,0.12167,0.00176078,800000
615816,1.88637,0.12167,0.00176078,800000
616617,1.88637,0.12167,0.00176078,800000
617417,1.88637,0.12167,0.00176078,800000
618218,1.88637,0.12167,0.00176078,800000
619019,1.88637,0.12167,0.00176078,800000
619820,1.88637,0.12167,0.00176078,800000
620621,1.88637,0.12167,0.00176078,800000
621421,1.88637,0.12167,0.00176078,800000
622222,1.88637,0.12167,0.00176078,800000
623023,1.88637,0.12167,0.00176078,800000
623824,1.88637,0.12167,0.00176078,800000
624625,1.88637,0.12167,0.00176078,800000
625425,1.88637,0.12167,0.00176078,800000
626226,1.88637,0.12167,0.00176078,800000
627027,1.88637,0.12167,0.00176078,800000
627828,1.88637,0.12167,0.00176078,800000
628629,1.88637,0.12167,0.00176078,800000
629429,1.88637,0.12167,0.00176078,800000
630230,1.88637,0.12167,0.00176078,800000
631031,1.88637,0.12167,0.00176078,800000
631832,1.88637,0.12167,0.00176078,800000
632633,1.88637,0.12167,0.00176078,800000
633433,1.88637,0.12167,0.00176078,800000
634234,1.88637,0.12167,0.00176078,800000
635035,1.88637,0.12167,0.00176078,800000
