# Time (hours),k1,k2,k3
0.155155,1.886367,0.121670,0.001761
0.156156,1.886367,0.121670,0.001761
0.157157,1.886367,0.121670,0.001761
0.158158,1.886367,0.121670,0.001761
0.159159,1.886367,0.121670,0.001761
0.160160,1.886367,0.121670,0.001761
0.161161,1.886367,0.121670,0.001761
0.162162,1.886367,0.121670,0.001761
0.163163,1.886367,0.121670,0.001761
0.164164,1.886367,0.121670,0.001761
0.165165,1.886367,0.121670,0.001761
0.166166,1.886367,0.121670,0.001761
0.167167,1.886367,0.121670,0.001761
0.168168,1.886367,0.121670,0.001761
0.169169,1.886367,0.121670,0.001761
0.170170,1.886367,0.121670,0.001761
0.171171,1.886367,0.121670,0.001761
0.172172,1.886367,0.121670,0.001761
0.173173,1.886367,0.121670,0.001761
0.174174,1.886367,0.121670,0.001761
0.175175,1.886367,0.121670,0.001761
0.176176,1.886367,0.121670,0.001761
0.177177,1.886367,0.121670,0.001761
0.178178,1.886367,0.121670,0.001761
0.179179,1.886367,0.121670,0.001761
0.180180,1.886367,0.121670,0.001761
0.181181,1.886367,0.121670,0.001761
0.182182,1.886367,0.121670,0.001761
0.183183,1.886367,0.121670,0.001761
0.184184,1.886367,0.121670,0.001761
0.185185,1.886367,0.121670,0.001761
0.186186,1.886367,0.121670,0.001761
0.187187,1.886367,0.121670,0.001761
0.188188,1.886367,0.121670,0.001761
0.189189,1.886367,0.121670,0.001761
0.190190,1.886367,0.121670,0.001761
0.191191,1.886367,0.121670,0.001761
0.192192,1.886367,0.121670,0.001761
0.193193,1.886367,0.121670,0.001761
0.194194,1.886367,0.121670,0.001761
0.195195,1.886367,0.121670,0.001761
0.196196,1.886367,0.121670,0.001761
0.197197,1.886367,0.121670,0.001761
0.198198,1.886367,0.121670,0.001761
0.199199,1.886367,0.121670,0.001761
0.200200,1.886367,0.121670,0.001761
0.201201,1.886367,0.121670,0.001761
0.202202,1.886367,0.121670,0.001761
0.203203,1.886367,0.121670,0.001761
0.204204,1.886367,0.121670,0.001761
0.205205,1.886367,0.121670,0.001761
0.206206,1.886367,0.121670,0.001761
0.207207,1.886367,0.121670,0.001761
0.208208,1.886367,0.121670,0.001761
0.209209,1.886367,0.121670,0.001761
0.210210,1.886367,0.121670,0.001761
0.211211,1.886367,0.121670,0.001761
0.212212,1.886367,0.121670,0.001761
0.213213,1.886367,0.121670,0.001761
0.214214,1.886367,0.121670,0.001761
0.215215,1.886367,0.121670,0.001761
0.216216,1.886367,0.121670,0.001761
0.217217,1.886367,0.121670,0.001761
0.218218,1.886367,0.121670,0.001761
0.219219,1.886367,0.121670,0.001761
0.220220,1.886367,0.121670,0.001761
0.221221,1.886367,0.121670,0.001761
0.222222,1.886367,0.121670,0.001761
0.223223,1.886367,0.121670,0.001761
0.224224,1.886367,0.121670,0.001761
0.225225,1.886367,0.121670,0.001761
0.226226,1.886367,0.121670,0.001761
0.227227,1.886367,0.121670,0.001761
0.228228,1.886367,0.121670,0.001761
0.229229,1.886367,0.121670,0.001761
0.230230,1.886367,0.121670,0.001761
0.231231,1.886367,0.121670,0.001761
0.232232,1.886367,0.121670,0.001761
0.233233,1.886367,0.121670,0.001761
0.234234,1.886367,0.121670,0.001761
0.235235,1.886367,0.121670,0.001761
0.236236,1.886367,0.121670,0.001761
0.237237,1.886367,0.121670,0.001761
0.238238,1.886367,0.121670,0.001761
0.239239,1.886367,0.121670,0.001761
0.240240,1.886367,0.121670,0.001761
0.241241,1.886367,0.121670,0.001761
0.242242,1.886367,0.121670,0.001761
0.243243,1.886367,0.121670,0.001761
0.244244,1.886367,0.121670,0.001761
0.245245,1.886367,0.121670,0.001761
0.246246,1.886367,0.121670,0.001761
0.247247,1.886367,0.121670,0.001761
0.248248,1.886367,0.121670,0.001761
0.249249,1.886367,0.121670,0.001761
0.250250,1.886367,0.121670,0.001761
0.251251,1.886367,0.121670,0.001761
0.252252,1.886367,0.121670,0.001761
0.253253,1.886367,0.121670,0.001761
0.254254,1.886367,0.121670,0.001761
0.255255,1.886367,0.121670,0.001761
0.256256,1.886367,0.121670,0.001761
0.257257,1.886367,0.121670,0.001761
0.258258,1.886367,0.121670,0.001761
0.259259,1.886367,0.121670,0.001761
0.260260,1.886367,0.121670,0.001761
0.261261,1.886367,0.121670,0.001761
0.262262,1.886367,0.121670,0.001761
0.263263,1.886367,0.121670,0.001761
0.264264,1.886367,0.121670,0.001761
0.265265,1.886367,0.121670,0.001761
0.266266,1.886367,0.121670,0.001761
0.267267,1.886367,0.121670,0.001761
0.268268,1.886367,0.121670,0.001761
0.269269,1.886367,0.121670,0.001761
0.270270,1.886367,0.121670,0.001761
0.271271,1.886367,0.121670,0.001761
0.272272,1.886367,0.121670,0.001761
0.273273,1.886367,0.121670,0.001761
0.274274,1.886367,0.121670,0.001761
0.275275,1.886367,0.121670,0.001761
0.276276,1.886367,0.121670,0.001761
0.277277,1.886367,0.121670,0.001761
0.278278,1.886367,0.121670,0.001761
0.279279,1.886367,0.121670,0.001761
0.280280,1.886367,0.121670,0.001761
0.281281,1.886367,0.121670,0.001761
0.282282,1.886367,0.121670,0.001761
0.283283,1.886367,0.121670,0.001761
0.284284,1.886367,0.121670,0.001761
0.285285,1.886367,0.121670,0.001761
0.286286,1.886367,0.121670,0.001761
0.287287,1.886367,0.121670,0.001761
0.288288,1.886367,0.121670,0.001761
0.289289,1.886367,0.121670,0.001761
0.290290,1.886367,0.121670,0.001761
0.291291,1.886367,0.121670,0.001761
0.292292,1.886367,0.121670,0.001761
0.293293,1.886367,0.121670,0.001761
0.294294,1.886367,0.121670,0.001761
0.295295,1.886367,0.121670,0.001761
0.296296,1.886367,0.121670,0.001761
0.297297,1.886367,0.121670,0.001761
0.298298,1.886367,0.121670,0.001761
0.299299,1.886367,0.121670,0.001761
0.300300,1.886367,0.121670,0.001761
0.301301,1.886367,0.121670,0.001761
0.302302,1.886367,0.121670,0.001761
0.303303,1.886367,0.121670,0.001761
0.304304,1.886367,0.121670,0.001761
0.305305,1.886367,0.121670,0.001761
0.306306,1.886367,0.121670,0.001761
0.307307,1.886367,0.121670,0.001761
0.308308,1.886367,0.121670,0.001761
0.309309,1.886367,0.121670,0.001761
0.310310,1.886367,0.121670,0.001761
0.311311,1.886367,0.121670,0.001761
0.312312,1.886367,0.121670,0.001761
0.313313,1.886367,0.121670,0.001761
0.314314,1.886367,0.121670,0.001761
0.315315,1.886367,0.121670,0.001761
0.316316,1.886367,0.121670,0.001761
0.317317,1.886367,0.121670,0.001761
0.318318,1.886367,0.121670,0.001761
0.319319,1.886367,0.121670,0.001761
0.320320,1.886367,0.121670,0.001761
0.321321,1.886367,0.121670,0.001761
0.322322,1.886367,0.121670,0.001761
0.323323,1.886367,0.121670,0.001761
0.324324,1.886367,0.121670,0.001761
0.325325,1.886367,0.121670,0.001761
0.326326,1.886367,0.121670,0.001761
0.327327,1.886367,0.121670,0.001761
0.328328,1.886367,0.121670,0.001761
0.329329,1.886367,0.121670,0.001761
0.330330,1.886367,0.121670,0.001761
0.331331,1.886367,0.121670,0.001761
0.332332,1.886367,0.121670,0.001761
0.333333,1.886367,0.121670,0.001761
0.334334,1.886367,0.121670,0.001761
0.335335,1.886367,0.121670,0.001761
0.336336,1.886367,0.121670,0.001761
0.337337,1.886367,0.121670,0.001761
0.338338,1.886367,0.121670,0.001761
0.339339,1.886367,0.121670,0.001761
0.340340,1.886367,0.121670,0.001761
0.341341,1.886367,0.121670,0.001761
0.342342,1.886367,0.121670,0.001761
0.343343,1.886367,0.121670,0.001761
0.344344,1.886367,0.121670,0.001761
0.345345,1.886367,0.121670,0.001761
0.346346,1.886367,0.121670,0.001761
0.347347,1.886367,0.121670,0.001761
0.348348,1.886367,0.121670,0.001761
0.349349,1.886367,0.121670,0.001761
0.350350,1.886367,0.121670,0.001761
0.351351,1.886367,0.121670,0.001761
0.352352,1.886367,0.121670,0.001761
0.353353,1.886367,0.121670,0.001761
0.354354,1.886367,0.121670,0.001761
0.355355,1.886367,0.121670,0.001761
0.356356,1.886367,0.121670,0.001761
0.357357,1.886367,0.121670,0.001761
0.358358,1.886367,0.121670,0.001761
0.359359,1.886367,0.121670,0.001761
0.360360,1.886367,0.121670,0.001761
0.361361,1.886367,0.121670,0.001761
0.362362,1.886367,0.121670,0.001761
0.363363,1.886367,0.121670,0.001761
0.364364,1.886367,0.121670,0.001761
0.365365,1.886367,0.121670,0.001761
0.366366,1.886367,0.121670,0.001761
0.367367,1.886367,0.121670,0.001761
0.368368,1.886367,0.121670,0.001761
0.369369,1.886367,0.121670,0.001761
0.370370,1.886367,0.121670,0.001761
0.371371,1.886367,0.121670,0.001761
0.372372,1.886367,0.121670,0.001761
0.373373,1.886367,0.121670,0.001761
