# Time (hours),Membrane Thickness (cm),Voltage (V),Voltage Check(V),Current Density (A/cm^2),Current Density Check(A/cm^2),Power (W),Power Check(W)
0.199199,0.015808,1.937374,1.937374,0.759063,0.759063,1000.000000,1000.000000
0.200200,0.015798,1.937422,1.937422,0.759044,0.759044,1000.000000,1000.000000
0.201201,0.015788,1.937471,1.937471,0.759025,0.759025,1000.000000,1000.000000
0.202202,0.015778,1.937519,1.937519,0.759006,0.759006,1000.000000,1000.000000
0.203203,0.015768,1.937568,1.937568,0.758987,0.758987,1000.000000,1000.000000
0.204204,0.015758,1.937617,1.937617,0.758968,0.758968,1000.000000,1000.000000
0.205205,0.015748,1.937665,1.937665,0.758949,0.758949,1000.000000,1000.000000
0.206206,0.015738,1.937714,1.937714,0.758929,0.758929,1000.000000,1000.000000
0.207207,0.015728,1.937763,1.937763,0.758910,0.758910,1000.000000,1000.000000
0.208208,0.015718,1.937812,1.937812,0.758891,0.758891,1000.000000,1000.000000
0.209209,0.015708,1.937861,1.937861,0.758872,0.758872,1000.000000,1000.000000
0.210210,0.015698,1.937910,1.937910,0.758853,0.758853,1000.000000,1000.000000
0.211211,0.015688,1.937959,1.937959,0.758834,0.758834,1000.000000,1000.000000
0.212212,0.015678,1.938008,1.938008,0.758814,0.758814,1000.000000,1000.000000
0.213213,0.015668,1.938057,1.938057,0.758795,0.758795,1000.000000,1000.000000
0.214214,0.015658,1.938106,1.938106,0.758776,0.758776,1000.000000,1000.000000
0.215215,0.015648,1.938156,1.938156,0.758756,0.758756,1000.000000,1000.000000
0.216216,0.015638,1.938205,1.938205,0.758737,0.758737,1000.000000,1000.000000
0.217217,0.015628,1.938255,1.938255,0.758718,0.758718,1000.000000,1000.000000
0.218218,0.015618,1.938304,1.938304,0.758698,0.758698,1000.000000,1000.000000
0.219219,0.015608,1.938354,1.938354,0.758679,0.758679,1000.000000,1000.000000
0.220220,0.015598,1.938403,1.938403,0.758660,0.758660,1000.000000,1000.000000
0.221221,0.015588,1.938453,1.938453,0.758640,0.758640,1000.000000,1000.000000
0.222222,0.015578,1.938503,1.938503,0.758621,0.758621,1000.000000,1000.000000
0.223223,0.015568,1.938553,1.938553,0.758601,0.758601,1000.000000,1000.000000
0.224224,0.015558,1.938602,1.938602,0.758582,0.758582,1000.000000,1000.000000
0.225225,0.015548,1.938652,1.938652,0.758562,0.758562,1000.000000,1000.000000
0.226226,0.015538,1.938702,1.938702,0.758543,0.758543,1000.000000,1000.000000
0.227227,0.015528,1.938752,1.938752,0.758523,0.758523,1000.000000,1000.000000
0.228228,0.015518,1.938802,1.938802,0.758503,0.758503,1000.000000,1000.000000
0.229229,0.015508,1.938853,1.938853,0.758484,0.758484,1000.000000,1000.000000
0.230230,0.015498,1.938903,1.938903,0.758464,0.758464,1000.000000,1000.000000
0.231231,0.015488,1.938953,1.938953,0.758444,0.758444,1000.000000,1000.000000
0.232232,0.015478,1.939004,1.939004,0.758425,0.758425,1000.000000,1000.000000
0.233233,0.015468,1.939054,1.939054,0.758405,0.758405,1000.000000,1000.000000
0.234234,0.015458,1.939104,1.939104,0.758385,0.758385,1000.000000,1000.000000
0.235235,0.015448,1.939155,1.939155,0.758365,0.758365,1000.000000,1000.000000
0.236236,0.015438,1.939206,1.939206,0.758346,0.758346,1000.000000,1000.000000
0.237237,0.015428,1.939256,1.939256,0.758326,0.758326,1000.000000,1000.000000
0.238238,0.015418,1.939307,1.939307,0.758306,0.758306,1000.000000,1000.000000
0.239239,0.015408,1.939358,1.939358,0.758286,0.758286,1000.000000,1000.000000
0.240240,0.015398,1.939409,1.939409,0.758266,0.758266,1000.000000,1000.000000
0.241241,0.015388,1.939460,1.939460,0.758246,0.758246,1000.000000,1000.000000
0.242242,0.015378,1.939511,1.939511,0.758226,0.758226,1000.000000,1000.000000
0.243243,0.015368,1.939562,1.939562,0.758206,0.758206,1000.000000,1000.000000
0.244244,0.015358,1.939613,1.939613,0.758186,0.758186,1000.000000,1000.000000
0.245245,0.015348,1.939664,1.939664,0.758166,0.758166,1000.000000,1000.000000
0.246246,0.015338,1.939715,1.939715,0.758146,0.758146,1000.000000,1000.000000
0.247247,0.015328,1.939767,1.939767,0.758126,0.758126,1000.000000,1000.000000
0.248248,0.015318,1.939818,1.939818,0.758106,0.758106,1000.000000,1000.000000
0.249249,0.015308,1.939869,1.939869,0.758086,0.758086,1000.000000,1000.000000
0.250250,0.015297,1.939921,1.939921,0.758066,0.758066,1000.000000,1000.000000
0.251251,0.015287,1.939973,1.939973,0.758046,0.758046,1000.000000,1000.000000
0.252252,0.015277,1.940024,1.940024,0.758026,0.758026,1000.000000,1000.000000
0.253253,0.015267,1.940076,1.940076,0.758006,0.758006,1000.000000,1000.000000
0.254254,0.015257,1.940128,1.940128,0.757985,0.757985,1000.000000,1000.000000
0.255255,0.015247,1.940180,1.940180,0.757965,0.757965,1000.000000,1000.000000
0.256256,0.015237,1.940231,1.940231,0.757945,0.757945,1000.000000,1000.000000
0.257257,0.015227,1.940283,1.940283,0.757924,0.757924,1000.000000,1000.000000
0.258258,0.015217,1.940335,1.940335,0.757904,0.757904,1000.000000,1000.000000
0.259259,0.015207,1.940388,1.940388,0.757884,0.757884,1000.000000,1000.000000
0.260260,0.015197,1.940440,1.940440,0.757863,0.757863,1000.000000,1000.000000
0.261261,0.015187,1.940492,1.940492,0.757843,0.757843,1000.000000,1000.000000
0.262262,0.015177,1.940544,1.940544,0.757823,0.757823,1000.000000,1000.000000
0.263263,0.015167,1.940597,1.940597,0.757802,0.757802,1000.000000,1000.000000
0.264264,0.015157,1.940649,1.940649,0.757782,0.757782,1000.000000,1000.000000
0.265265,0.015147,1.940702,1.940702,0.757761,0.757761,1000.000000,1000.000000
0.266266,0.015137,1.940754,1.940754,0.757741,0.757741,1000.000000,1000.000000
0.267267,0.015127,1.940807,1.940807,0.757720,0.757720,1000.000000,1000.000000
0.268268,0.015117,1.940859,1.940859,0.757700,0.757700,1000.000000,1000.000000
0.269269,0.015107,1.940912,1.940912,0.757679,0.757679,1000.000000,1000.000000
0.270270,0.015097,1.940965,1.940965,0.757658,0.757658,1000.000000,1000.000000
0.271271,0.015087,1.941018,1.941018,0.757638,0.757638,1000.000000,1000.000000
0.272272,0.015077,1.941071,1.941071,0.757617,0.757617,1000.000000,1000.000000
0.273273,0.015067,1.941124,1.941124,0.757596,0.757596,1000.000000,1000.000000
0.274274,0.015057,1.941177,1.941177,0.757576,0.757576,1000.000000,1000.000000
0.275275,0.015047,1.941230,1.941230,0.757555,0.757555,1000.000000,1000.000000
0.276276,0.015037,1.941283,1.941283,0.757534,0.757534,1000.000000,1000.000000
0.277277,0.015027,1.941337,1.941337,0.757513,0.757513,1000.000000,1000.000000
0.278278,0.015017,1.941390,1.941390,0.757492,0.757492,1000.000000,1000.000000
0.279279,0.015007,1.941444,1.941444,0.757472,0.757472,1000.000000,1000.000000
0.280280,0.014997,1.941497,1.941497,0.757451,0.757451,1000.000000,1000.000000
0.281281,0.014987,1.941551,1.941551,0.757430,0.757430,1000.000000,1000.000000
0.282282,0.014977,1.941604,1.941604,0.757409,0.757409,1000.000000,1000.000000
0.283283,0.014967,1.941658,1.941658,0.757388,0.757388,1000.000000,1000.000000
0.284284,0.014957,1.941712,1.941712,0.757367,0.757367,1000.000000,1000.000000
0.285285,0.014947,1.941766,1.941766,0.757346,0.757346,1000.000000,1000.000000
0.286286,0.014937,1.941820,1.941820,0.757325,0.757325,1000.000000,1000.000000
0.287287,0.014927,1.941874,1.941874,0.757304,0.757304,1000.000000,1000.000000
